Text,label
"the coronavirus started in a bill gates company lab in china, then purposely leaked out to kill now how did it get into other countries? all nations of the world worship the beast! so they all have the same plan to kill billions in depopulation including the usa ",0
 these two just can not get anymore ignorant!!!!!!! fredo and little whiny bitch!!! wuhanvirus,0
" the question is, if one infected person or dog has their literal shit / excrement end up in that lake, how many ppm of coronavirus does it take to get someone infected? if it is a bioweapon, maybe only 1 virus. 1 super spreader could doom 5m ppl, theoretically.",0
i keep hearing/reading about asians being verbally and even physically attacked. all i have to say is this: racismisavirus,1
best tweet of the year,0
the hypocrisy of the left calling people racists over the name chinese virus. but literally teach in schools how the white man brought disease. ,0
 fuck all fake rubbish 76 ass hole hk fucking popo wish all they can get corona wuhan virus asap and die immediately,2
" there is no such thing as a “chinese virus”, bet you would be shocked to learn spanish flu did not start in spain",0
yang said organizations such as the and the have issued statements condemning anti-asian racism in the wake of the coronavirus pandemic. stopaapihate ,1
 if they would have put half the effort into the chinese virus they did on the disgusting impeachment shit who knows what could have been accomplished already!,0
videos: china turns to robots in coronavirus control - covid2019 covidー19 coronavirus virus china chinese wuhanvirus wuhan coronavirius 7ummit disease health 7ummit robots technews ai tech ,0
"valerie chow was mobilizing her tv production co, thirsty tiger to launch becool2asians + combat anti-asian covid-19 hate when she was attacked for being asian. she is now channeling fear + anger into producing positive messaging about the coronavirus. stay tuned for our videos! ",1
i want you to handcuff me and fuck me properly. irvine nudemodel coronavirus ,0
quick calling it a chinese virus. this has the potential to cause people to wrongfully discriminate on people of as… ,0
" this is so fucking dumb, this virus has caused unnecessary hate towards the chinese race as a whole. not every single person who is chinese has the virus, when will people learn smh it comes off as very ignorant",1
" although it does not sound right to say “chinese virus”, the origin of the virus is animal (days, cats,bats,rats,snakes,etc) meat market in wuhan.the virus transferred from animal to human, and then,from human to human. thus,chinese people should change their eating habits.",0
stop calling covid-19 the “chinese virus” the fucks wrong wit ya,1
outbreaks of xenophobia in west as coronavirus spreads | the guardian iamnotavirus iamnotevenchinese ,1
speak up against the anti-asian racism hate by signing this statement. your voice matters. iamnotavirus ,1
 fuck chinese editors! chinesevirus covid19 coronavirus,2
i agree with the coronavirus more than likely is man made would protect their friends china and; they hate president trump and; america. china has been stealing our technology and; would do anything in their powers to destroy america ,2
keep pressing him. bigotry chinesevirus iamnotavirus ,1
 most are business men that went to buy goods from guangzhou china racismisavirus,0
thanks and; for addressing this! washthehate hateisavirus crimesagainstasians ,1
 it is a shame just to think about it. what a bullshit! obviously a chinese virus.,0
have a read: statement maps how coronavirus covid19 epidemic has been racialised particularly in uk contexts and; sets out some proposals for how to unracialise. antichineseracism iamnotavirus,1
" the “decoupling” from china is a fucking disaster, chief, and why do think 2018 was the worst year for the stock market since the start of the last recession? the coronavirus has just made the shit sandwich that that deranged bankruptcy expert got us into worse",0
"who confirms over 2,000 coronavirus fatalities as two quarantined cruise ship passengers die ",0
china sucks dick and so does 90% of other countries in the world. call me xenophobic ,2
" okay well maybe in the next two months, it will kill more than the flu. but for now, i am sad to report to you, the flu has killed more. i know you are instructed to only care about the chinese virus deaths but ok.",0
" what is the problem? you hate chinese bcz you think that this virus only because of them? i am sorry, but are you blind ?? all people know that this virus is a political war. and government tries to distract people to do their thing. they kill ppl, not only chinese!!!",1
 keep proving me right so you now fully accept chinese virus is racist? but you think it is ok because some asians are anti black? you keep exposing your desperate deluded brain,1
 “dearpres.trump you did a great joband;it will take years4people 2 understand how much you  americaand;the world patriots. this is certainly the right way2fight terrorists.the people of iran appreciate you4killing soleimani.” coronavirus ,0
"the people is collective for justice and liberation presents a townhall on anti-asian racism: race, struggle and solidarity in the time of a global pandemic sat 3/28 from 3-5pm pst/6-8pm est rsvp here: coronavirus covidー19 racismisavirus",1
if only piers morgan had used his powers for good not evil before,2
"16 countries shut down schools nationwide. america? we have a fucking severely mentally ill idiot, who does not care at all about any americans including his own family. he was off golfing yet again while every other country taking actions to get a grip on coronavirus crisis.",0
 i am not talking about the church closing i am talking about blaming the chinese government for the plague like yeah their actions and shit was questionable but did they create the virus?,0
the president of the us calling covid-19 the ‘chinese virus’. why does that not even surprise me at this point ,2
i watched two episodes of tiger king and i honestly do not get the hype. it is 2020!! there is much crazier shit going on than this and the chinese virus is not one of them.,0
" this issue has to be addressed now, if there is to be any hope of containing the spread and the si… ",0
 fuck chinese editors! chinesevirus covid19 coronavirus,2
" second anti-chinese article today, what do you want? is your press owned by donald trump? are you provoking a race war or would you prefer everyone is united and fight against covid19 and recover the economy asap racism racismisavirus ",1
iamnotavirus: the internet is fighting rising anti-chinese sentiment over the coronavirus outbreak. ,1
 calling it the china virus is a deliberate attempt to shift blame from a country is own government t… ,0
"people have got to stop calling this the chinese virus! it is racist as hell and; gets people of asian decent who were born in america beat up and; killed! shows that is a racist thug! he “says” he does, but how do we know! charges secret service double @ his hotels!",1
check this guy out living in wuhan. his info coupled with other shit i have found makes me truly believe that the coronavirus is not only a bio weapon but the death toll is at least 50k. pretty scary shit,0
to all the xbots that could not control your fanboyism over the coronavirus i thank you. now when i thrash shit games microsoft makes i have receipts of who is truly toxic if you get triggered over it. i appreciate you all. ,0
"the chinavirus morphing into just another form of racial socialism. in a diverse society, whitey always must pay!",0
 racismisavirus asian americans and in general asians around the world are being attacked because of this!,1
"i hope nobody actually needs to be told this, but: odds of someone catching the coronavirus from american/canadian chinese restaurants are about as slim as catching it from literally anyone else here. the idea that people should avoid them is not only unfair but fucking asinine.",1
 steve sisolak is a fucking asshole!!! he has ignored this wheelchairuser for a year and; he protects coronavirus nvdhhs director thief richardwhitley!!! i need heat/food!!! nvcaucus gofundme/video: unread sisolak email:,0
" the reason pelosi said “come to chinatown” is because racist trump was calling it the chinese virus and his stupid followers were blaming chinese americans. btw, trump is xenophobic.",1
" no, calling it the chinese corona virus is not racist. historically speaking, diseases of this magnitude are named after the country or region they originate from. also, whats wrong about holding the country accountable for their lack of food and animal regulation since its been",2
....thighs.... *drooling chink emoji*,0
oh fuck. y’all should have kept that shit right tf in china.,2
 yes we have the facts. racist assholes call it the chinese wuhan virus. racismisavirus,1
i want some chinamen hella bad i wish this coronavirus shit would die down a little  damn,0
oh shit two diamond princess cruise passengers die from coronavirus ,0
will coronavirus throw the us into a recession? the virus is creating great uncertainty and is disrupting supply chains in asia. trump proposes 16% cut to cdc as number of coronavirus deaths rise. do not be fooled by 45 is lies. 45sfakeeconomy wtp2020 wtp218 ,0
dude fuck the chinese man fuck em and if you think what i am saying is wrong or rude you are the problem,2
hoe dan? wuhan 400: novel predicted coronavirus 40 years ago. ,0
here is to the heath care workers facing racism as they save people. washthehate asianamerican ,1
 enough about your great relationship w/ the chinese communist dictator! that thug is our enemy! it is long past time to cut ties w/ china and; to quit kissing their ass! you have even quit calling it the china/wuhan virus! the ussr was an evil empire so is china,2
"just a reminder: if you are upset that a movie in which you have based all of your personal hopes and fears upon is not doing so well, or is doing too well, you are the reason the coronavirus exists. get a fucking grip, already, it is just a fucking movie.",0
breaking: military in iran preparing to quratine qom after two people suddenly died of coronavirus today. highways are being shut down. (developing story) ,0
"are you nuts, sadly of course there have been",0
the gray plague: what the fuck is going on in qom? coronavirus wuflu ,0
 this is freakin' nuts! personally sue the racist gov if anyone in your family dies and was blocked this medicine by him. this is criminal and gross negligence. he is probably pissed trump called it the china-virus which it is.. not a race but a country. sisolak is wife is chinese.,0
" he is not the most dominant, that would be based on stats and championships u spasticwhy tf would i care about some ugly chink on a shite game",0
"just turned the tv off. if he is going to keep calling it the chinese virus, i am not going to listen. racismisavirus covid_19",1
"if this goes any further, with corona virus; this bad! i'd expell every dang chinaman, every chinese business out of our country! what a bunch of bull-shit! govt too damn slow!",2
jesus fucking christ can someone explain to me how the state department and some random trump appointee (all these fucking people should be named) overruled the cdc??? ,0
" why did cnn first call this the ""chinese virus""? you are racist to think that way!!!!",0
"from - how racism has been at an uptick following usage of terms like ""chinese virus"". iamnotavirus ",1
 mentel banget chink,0
"pls retweet: writes asian americans are ""vastly over-represented among the front line medical workers"" 17% doctors, 9% pa is, 10% nurses in the us are asian. yet they face the rise in violence and hate against asians. becool2asians frontlineworkers covid19 ",1
" chinatown is not china you racist mo-fos! chinese americans are no more prone to having or spreading covid-19 than any other american, yet because of racists like you they are more prone to being victims of hate crimes!",0
also! i am sorry about my sudden hiatus the past few weeks! things have been very stressful here due to covid-19 everyone stay safe,0
it comes from the ccp who made the very contagious deadly biochemical weapon virus. the ccp has enslaved china and… ,0
imagine that. playing a doctor ruined his ratings. per shame per sham ,0
"china let this loose on the world they should pay dearly. bring our damn supply home back to america and mexico. we should not be trading with communist china. they are not our friends and never will be. buy america, look at all the labels. say no to china.",2
no more fake news.  chinalies ccp chinazi boycottchina wuhancoronavirusoutbreak anywherebutchina. ,0
hey asshole. did u see trumps presser on coronavirus? 15 cases in all of the u.s.. did you hear the head of cdc speak? vaccine being developed. coronavirus cases n china dropping. okay now that iu know the truth stick your head back up chuck schumer is lying ass.,0
how the fuck does this happen arrest every single one of these people and arrest whoever allowed it to happen ,0
china reports new wuhan virus cases ahead of key holiday ,0
"fuck china scums of the earth disgusting pieces of shit learn how to not kill off your whole population of pigs, chickens, and humans. coronavirus wuhanflu ccp africaswine pigs chickenflu nasty nasty china  clean your fucking country.",2
" the irony is u can blame the racist morons 4 listening to 1 racist moron who called it a chinese flu, instead of what it really is, an indiscriminate virus that will kill anyone in it is path. it does not matter where it started. innocent ppl are not to blame! stay home! be safe!",1
freedom and democracy lit a shit bag on hong kong is doorstep and just rang communism is doorbell in china standwithhk,0
and trump said they got this under control and the number of cases is decreasing in china. why are not the chinese government letting us know for themselves and letting investigations happen when other countries are trying to figure it out. lying through your fucking teeth smfh.,0
it is worrying that the corona virus disease is now global infections in over 59 countries while the countries in white are not reporting any infections. more likely that they are not having the process or infrastructure for testing the infection ,0
"you dumb ass commies have made yourselves look like total idiots by blaming everything and nothing on president trump. have you ever heard of "" the boy who cried wolf"".",0
how the hell does spain end up surpassing china in total number of cases?,0
" they want to promote their cure as ""chinese solution"" then why not we call it as ""chinese virus"" as they did spread it. ",0
"very sad , please take this shit seriously chinavirus ",0
vietnam and china have reopened tan thanh border crossing in lang son for small-scale trade. those are trucks carrying vietnamese dragon fruits waiting to cross the border today. border crossings between the two countries have been shut fir weeks because of coronavirus ,0
self-care tips for asian americans dealing with racism amid coronavirus racismisavirus ,1
using an illness for your hatred agenga ai not cute,0
 what are you saying...china is trying to spread propaganda that the us started this virus and that it kicked out chinese journalists to hide the truth about american infections when it americans were kicked out first. go to china. no one wants a fucking communist sympathizer here,2
"dear universe, may coronavirus save humanity by turning us toward one another. may coronaviruspandemic remind us that borders between nations cannot quell radical human love in response to deep need. thanks china for teaching us how to be in embodiedsolidarity with humanity",1
i really cannot go out at all as an asian that is crazy fr gettin jumped for no reason racismisavirus ,1
"half of 70 medical professionals at 21st century hospital in gwangju, southkorea, where 2 wuhanvirus patients were discovered, were not tested for the coronavirus, but the moonjaein govt announced they tested negative anyway. ",0
holy shit. the countdown is on for justin trudeau covid19 coronavirus wuflu cdnpoli ,0
 shut up and dont start the pussy pc crap its the chinese virus ! viruses have always started. in their idiotic wet markets eating dogs cats bats all manner of domestic animals ! so shut up !,2
. is washing his hands to end anti-asian bigotry with washthehate. ,1
me watching all the coronavirus shit after saying we need a new plague for years ,0
 it is called the “chinese syndrome” —chink man. ,2
asianamericans do not have to prove their americanness to anyone via racismisavirus,1
"calling all radical counsellors and; psychotherapist is  we are meeting on 26th april, 11-1 to reflect, learn and respond to covid-19 in intersectional, antioppressive, therapeutic and; practical ways. please join and; share. ",0
sickening how y'all are using this corona virus outbreak as an excuse to be racist to asians,0
"that fucken corona virus is now in italy, france, germany, austria, iran, australia and the us, but newspapers and other media outlets still keep showing asian faces with masks  iamnotavirus covid19 ",1
"i am old enough to remember sikh getting assaulted and murdered because muslims flew planes into wtc. and you are friends with people calling it the ""chink virus."" do you think hate knows the difference between gooks?",1
a friend of my family just died within 3 days of being in the icu after testing positive for covid-19. please y’all...stay the fuck inside.,0
ca not have a confirmed case if you do not have testing kits ,0
"“after experimenting on animals, if they are not dead, they will take the rats and bats and snakes to a local meat market, and sell them for extra money. this could be how the virus got into humans.” - a doctor, on tv, just said this. what the fuck? coronavirus chinavirus",0
" lip service again from marketing, you do not give a shit about australia, only your corrupt government, coronavirus can now take upto 94 days to incubate i have read",0
washthehate aims to uplift the asian community and combat racism during coro...,1
"sadly racism against asians now in light of covid19 is not limited to us. uk, australia and; more. via wecandobetter washthehate",1
washthehate aims to uplift the asian community and combat racism during coronavirus pandemic ,1
 go suck chinese dick. chinese virus,2
"i was chatting with my partners mum, who is a midwife, completely perplexed as to where to put a prospective coronavirus patient, with no quarantined section in the hospital. china built a hospital in 6 days. in conclusion, where the fuck is nick knowles when you need him.",0
china is coronavirus cases surge to 400 in italy freetibet freehk ccp covid19 xivirus chinavirus coronarevolution freepress karmavirus,0
steve bannon is new movie: 'claws of the red dragon' - official trailer ccp ccpvirus xijingping espionage china huawei ,0
"when i was told there would be bioweapons, i was hoping for fucking zombies and mutants not god damn flu based heart attacks!",0
coronavirus really said fuck you teah you are not going to japan anymore no more fucking tokyo banana for you fucking chink,2
" fuck off, commie chinaliedpeopledied fucktheccp",2
 ‘congratulations’? is that another stab at clever snark? trump created the shit culture. every weakling who runs around calling covid-19 the ‘chinese virus’ because they think it makes them sound like anything other than a poser patriot fuels the environment created by the gop.,1
 is there any way to verify that the chinese did not execute a bunch of political prisoners and blame… ,0
" coronavirus has collapsed our markets. what better way to get back at the us markets?! coronavirus that came from wuhan china. these governments dont give a shit about us, collateral damage- wake up",0
"bounty quick-size paper towels, white, family rolls (143 sheets per roll), 16 rolls ad coronavirus corona virus coronavirusoutbreak covid2019 wuhanvirus coronavirususa pandemic sarscov2 china wuhan flu coronaoutbreak covid19",0
"individual stories, especially from people within marginalized and vulnerable populations, are often lost in outbreaks. i encourage a listen: three queer stories in the time of coronavirus",0
you people are fear-mongering pieces of shit. as if your commie global warming 'we're all gonna die in 12 years' was not enough. shame on you monsters. all of you.,0
why the fuck talking about coronavirus is a sensitive topic? wuhanvirus wuhancoronavirusoutbreak,0
agree that we can no longer blame china. ,0
i would especially urge my fellow jewish friends in the us to patronise their local chinese restaurants/takeouts extra atm. american jews have a historic special bond with american chinese food places. we need to help counteract this racist and; ignorant paranoia re: coronavirus,1
"rampant misinformation about the coronavirus, has led to racist attacks against asian americans. stay informed on show! iamnotavirus ",1
...helping hands like the hongkongpolice to beat the absolute shit out of innocent passengers???  721yuenlong yuenlongdarknight coronavirus,0
" also, what protections are available on campus for asian-american and international students as rates of racist hate crimes escalate due to fear of coronavirus?",1
" chinese virus. they made it, released it, and hid it. it is time they own it.",0
"omfg not only is trump still calling coronavirus a ""chinese"" virus – so is . why am i not surprised? freaking disgusting. racismisavirus covid19 ",1
 donald hear this u put a ban on huawei . their ceo who is from chinese army fucking took a revenge on you xijingping virus. chinese started world war 3 . what is up with usa,2
fuckin' ugly reds. coronavirus coronavirusoutbreak covid2019 chinavirus coronavirusjapan yokohama,0
" yeah, but calling it the chinese virus or the wuhan flu makes it seem like it is the chinese citizens fault. it is not. it is the dumb bitch they have got in charge. winnie the pooh looking bitch. you know who i am talking about.",1
 oh are you a pyshic can you accurately predict how the virus will kill/ spread or mutate? if not then shut the fuck. funfact more people died under obama from sars and ebola then the chinese communist parties virus,0
a japanese professor who gained access to the diamond princess cruise ship says he was shocked by the lack of coronavirus infection control measures on board. ,0
"trump is retard. but fuck chinese communists! i used to pile on people for calling it ""chinese virus"". it is fucking ""chinese virus""! chinese knew about this contagious virus early on, tried to muzzle those who red flagged it; and; made them die. families of all dead must sue chinese",2
"whitehouse based covid19 response guidelines on a draft paper by team, et al.  really, whitehouse inc' dr deborah birx should also read is published book, ""how not to piss off a community"". it is free. ",0
have y'all read a book called 'the eyes of darkness' by dean koontz. the detail in the keywords wuhan-400 and date 2020 and discription of the virus reads like a documentary. scary scary stuff coronavirus coronavirusoutbreak ,0
" hi, chink lee. a beauty, is not xi? ",2
my grandma just yelled at me for greeting her old lady friend on the cheek bc of the corona virus going around ,0
"please note that in 2015, an estimated 200 people died of natural causes - such as flu - on cruise ships. any death is sad, but it seems to me that this whole virus scare has as much to do with social experimentation/control as anything else. now, where did i put me tinfoil hat?",0
there has been a rise in anti-chinese and; anti-asian racism in light of the coronavirus and; xenophobic remarks from donald trump: rsvp for a townhall on sat 3/28 from 3-5pm pst/6-8pm est here: covid19 racismisavirus ,1
 it is not chinese virus,0
"oops - bumbledick hypocrites suddenly outraged that google has demonetized criticism of donaldtrump is kungflu responses; welcome to the club, boys; censorship bites all asses: ",0
fuck china fuck taiwan fuck chinos fuck taiwaneses fuck hombres fuck coronavirus,2
"wuhanvirus/coronavirusupdate: fakenews, the enemyofthepeople, is the us epicenter of the wuhanvirus/coronavirus freakout. if there is anyone that should be in a panic, it is the people near kirkland, wa or friends/family of recent chinese travelers. enough fake news! kag",0
hope the coronavirus gets this chinky cunt  deport him now!!! ,2
 this is the most racist and unprofessional president we have had to date calling this the “chinese v… ,0
" what a fucking stupid, ignorant statement. covid19 is not coming from the border. it is coming on airplanes from china you stupid fox opinion fan ass. walls do not work. panels built have blown over or blown up. invisible electronic ""fences"" work and are billions cheaper. read!! ",0
this garbage site is blatantly using the phrase “china virus” racismisavirus ,1
"fuck off you mother fucking, reptile eating chinks! you have lost the world is respect you murdering cunts!",2
" re: protecting life, today would be a good day for some kind of official briefing from the white house podium about coronavirus. i am hearing conflicting info from different trump people, none of whom appear to be in charge. am i supposed to chase it down myself??? wuflu",0
"covid19 i had purchased some n95 masks 2 months ago. not many but a box of 15 - never opened it, so i sent them back so that they can be used in the regular supply chain.",0
 as a black american i stand with my asian brothers and sisters.  washthehate,1
"not covidー19!! it should be called the wuhanvirus !!!!! also, do not let ""who"" get rid of their responsibility!! wuhancoronavirus wuhan coronavirus fuckccp fuckchina fuckwho boycottchina ccp_is_terrorist china_is_terrorist hongkongisnotchina taiwanisnotchina",2
"if you start a post with ""we are not racist . . ."" and proceed to record a video of you calling it the chinese virus, you are racist.",1
"can we not call it the coronavirus or ""chinese virus"" and just call it the ""boomer virus"" and maybe people will take it seriously?",0
please watch and share hateisavirus washthehate chinesearenotavirus saynotoracism ,1
 we don't school yet bc of the coronavirus,0
chinaliedpeopledied chinese gov't lied to the world. ,0
"interestingly coronavirus kills only 2% of infected, yet many deaths in italy and; china also some other countries, more of a conspiracy and; murderousgovernments killing people and; taking their patents and; businesses. lucrative expensive $5000 handbags and; shoes industries takeovers",0
another methodology change = another wild swing in new cases of covid19. we dove into implications w ⁦⁩ + concerns about undetected cases and; whether local us health depts have enough funding. ⁦⁩ put it bluntly: “no.” ,0
"the treatment of asians specifically, during this time, is unacceptable. racismisavirus ",1
decipher ,2
wait till the first white causality of corona virus then they will be crying its a bioweapon against white people despite the hundred thousands non white causalities. fact,0
we must stand together and fight the racism against asians. iamnotavirus ,1
"had to leave the house today, but i am not catching coronavirus from you little fucks! ",0
we respect those health staff on the front line in china. respect ,0
"at the very least, china needs to be isolated from the world. they have had their sights on us for decades. wake the fuck up! fuckchina",2
" frank king, you are a selfish ass. you do not get to make these decisions. covid2019 coronavirususa ",0
"well, how else is he going to connect this crisis to latin america? he tried calling it the chinesevirus and people were up in arms for his offensive language, never mind that he is been hurling worse insults to an entire bunch of countries while people are okay with it. ",0
 australia exports food to the origin off the chinavirus china gives us shit cheap socks and shit cheap tvs. so we can keep the food and china can have their sock and keep eating bats.,2
" hey kevin - calling it the ""chinese coronavirus is racist - but then, you are a hate-mongering bigot so you actually need people to tell you that.",1
 tl;dr my qanon niggas think a happening is gonna happen today. although it does sound reasonable that another major happening could happen due to chink virus.,2
they cant even do social distancing. theyre forced to come in and stand on a podium with yall dumb ass president who call the virus the chinese virus. now people pouring hot water on asian america citizens cause of his ignorance.,1
so it is basically a pandemic in italy now. not that you would know from the who. coronavirus wuflu covid19,0
